response_id	response_raw	response_no	response_separate	group_validation
28	I try to preregister confirmatory studies that will end up in a paper. As a result, my preregistered vs. non-preregistered studies differ quite a bit because they are achieving different goals. My non-preregistered studies are typically exploratory in order to get a sense of whether a research question is interesting and how to go about testing it, while my preregistered studies are about ensuring that the effect is real. As a result, the workflow for the preregistered studies is generally simpler and clearer, and the data management is more careful (e.g., the R code is cleaner). The quality of the study design I don't think differs, but I do have more confidence that any results I find are more likely to be true.	02	and the data management is more careful (e.g., the R code is cleaner)	NA
28	I try to preregister confirmatory studies that will end up in a paper. As a result, my preregistered vs. non-preregistered studies differ quite a bit because they are achieving different goals. My non-preregistered studies are typically exploratory in order to get a sense of whether a research question is interesting and how to go about testing it, while my preregistered studies are about ensuring that the effect is real. As a result, the workflow for the preregistered studies is generally simpler and clearer, and the data management is more careful (e.g., the R code is cleaner). The quality of the study design I don't think differs, but I do have more confidence that any results I find are more likely to be true.	03	The quality of the study design I don't think differs, but I do have more confidence that any results I find are more likely to be true.	NA
29	At the beginning I always think about preregistration as an additional burden while planning a study. But I usually quickly recognize that my preregistered studies are much better conceived from the beginning on. Another advantage clearly is that you are not even slightly tempted to run additional analyses and frame them as confirmatory.	01	At the beginning I always think about preregistration as an additional burden while planning a study.	NA
29	At the beginning I always think about preregistration as an additional burden while planning a study. But I usually quickly recognize that my preregistered studies are much better conceived from the beginning on. Another advantage clearly is that you are not even slightly tempted to run additional analyses and frame them as confirmatory.	02	But I usually quickly recognize that my preregistered studies are much better conceived from the beginning on.	NA
29	At the beginning I always think about preregistration as an additional burden while planning a study. But I usually quickly recognize that my preregistered studies are much better conceived from the beginning on. Another advantage clearly is that you are not even slightly tempted to run additional analyses and frame them as confirmatory.	03	nother advantage clearly is that you are not even slightly tempted to run additional analyses and frame them as confirmatory.	NA
30	I think preregistration is tremendously helpful as it forces you to think everything through, preventing from making data-driven decisions. When you lack experience with a specific design, pilots may be required to make a good preregistration. Preregistration is sometimes frustrating because you cannot predict everything that can happen and because it slows down the start of data collection. But the latter may actually be an advantage too, as we may end up with fewer but better studies.	01	I think preregistration is tremendously helpful as it forces you to think everything through	NA
30	I think preregistration is tremendously helpful as it forces you to think everything through, preventing from making data-driven decisions. When you lack experience with a specific design, pilots may be required to make a good preregistration. Preregistration is sometimes frustrating because you cannot predict everything that can happen and because it slows down the start of data collection. But the latter may actually be an advantage too, as we may end up with fewer but better studies.	02	preventing from making data-driven decisions	NA
30	I think preregistration is tremendously helpful as it forces you to think everything through, preventing from making data-driven decisions. When you lack experience with a specific design, pilots may be required to make a good preregistration. Preregistration is sometimes frustrating because you cannot predict everything that can happen and because it slows down the start of data collection. But the latter may actually be an advantage too, as we may end up with fewer but better studies.	03	When you lack experience with a specific design, pilots may be required to make a good preregistration.	NA
30	I think preregistration is tremendously helpful as it forces you to think everything through, preventing from making data-driven decisions. When you lack experience with a specific design, pilots may be required to make a good preregistration. Preregistration is sometimes frustrating because you cannot predict everything that can happen and because it slows down the start of data collection. But the latter may actually be an advantage too, as we may end up with fewer but better studies.	04	Preregistration is sometimes frustrating because you cannot predict everything that can happen	NA
30	I think preregistration is tremendously helpful as it forces you to think everything through, preventing from making data-driven decisions. When you lack experience with a specific design, pilots may be required to make a good preregistration. Preregistration is sometimes frustrating because you cannot predict everything that can happen and because it slows down the start of data collection. But the latter may actually be an advantage too, as we may end up with fewer but better studies.	05	it slows down the start of data collection	NA
30	I think preregistration is tremendously helpful as it forces you to think everything through, preventing from making data-driven decisions. When you lack experience with a specific design, pilots may be required to make a good preregistration. Preregistration is sometimes frustrating because you cannot predict everything that can happen and because it slows down the start of data collection. But the latter may actually be an advantage too, as we may end up with fewer but better studies.	06	But the latter may actually be an advantage too, as we may end up with fewer but better studies.	NA
31	Normally, I am working with existing large-scale data set which means that there is a long period in which I get to know the data before I settle on the final analyses. In the projects I have pre-registered, this workflow is of course different because I have to spend a more time thinking about the best possible analyses to address my research question prior to seeing the data. While I have always encountered issues in implementing my pre-registered analyses (e.g., learning about problems of the analyses I had planned), which led to various deviations, I got the impression that spending more time reflecting on the proper analysis strategy has improved the quality of my research.	01	In the projects I have pre-registered, this workflow is of course different because I have to spend a more time thinking about the best possible analyses to address my research question prior to seeing the data.	NA
31	Normally, I am working with existing large-scale data set which means that there is a long period in which I get to know the data before I settle on the final analyses. In the projects I have pre-registered, this workflow is of course different because I have to spend a more time thinking about the best possible analyses to address my research question prior to seeing the data. While I have always encountered issues in implementing my pre-registered analyses (e.g., learning about problems of the analyses I had planned), which led to various deviations, I got the impression that spending more time reflecting on the proper analysis strategy has improved the quality of my research.	02	While I have always encountered issues in implementing my pre-registered analyses (e.g., learning about problems of the analyses I had planned), which led to various deviations, I got the impression that spending more time reflecting on the proper analysis strategy has improved the quality of my research.	NA
32	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors. Also it forced me to think more clearly about my hypothesis and the predictions that follow from it. Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses, my pre-registered projects were the most efficient ones I did. Data management: No big difference from normal. Quality: My pre-registered results are my only published results that I fully believe.	01	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors.	NA
32	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors. Also it forced me to think more clearly about my hypothesis and the predictions that follow from it. Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses, my pre-registered projects were the most efficient ones I did. Data management: No big difference from normal. Quality: My pre-registered results are my only published results that I fully believe.	02	Also it forced me to think more clearly about my hypothesis and the predictions that follow from it.	NA
32	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors. Also it forced me to think more clearly about my hypothesis and the predictions that follow from it. Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses, my pre-registered projects were the most efficient ones I did. Data management: No big difference from normal. Quality: My pre-registered results are my only published results that I fully believe.	03	Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses	NA
32	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors. Also it forced me to think more clearly about my hypothesis and the predictions that follow from it. Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses, my pre-registered projects were the most efficient ones I did. Data management: No big difference from normal. Quality: My pre-registered results are my only published results that I fully believe.	04	my pre-registered projects were the most efficient ones I did.	NA
32	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors. Also it forced me to think more clearly about my hypothesis and the predictions that follow from it. Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses, my pre-registered projects were the most efficient ones I did. Data management: No big difference from normal. Quality: My pre-registered results are my only published results that I fully believe.	05	Data management: No big difference from normal.	NA
32	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors. Also it forced me to think more clearly about my hypothesis and the predictions that follow from it. Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses, my pre-registered projects were the most efficient ones I did. Data management: No big difference from normal. Quality: My pre-registered results are my only published results that I fully believe.	06	Quality: My pre-registered results are my only published results that I fully believe.	NA
33	I have pre-registered several studies over the years, and the process has changed over time. My first pre-registered study (published in 2014) likely looks very different from my most recent (stage 2 RR under review currently). The workflow for pre-registered projects is more front-loaded. This means that we do things in the beginning that we used to do at the end. The analysis is very challenging to plan, but actually running the analysis is simpler once the data are in. There is not as much temptation to choose specifications that are favorable to the conclusions; it relieves some pressure on me to make the results conform to a particular outcome. (This is especially true for registered reports, where statistical significance is not relevant.) I'm not sure I've discerned much effect of pre-registration specifically on data management. My data management habits have changed over this same time period to ensure fewer errors and greater reproducibility, but I would characterize this change as independent of the decision to pre-register.	01	The workflow for pre-registered projects is more front-loaded. This means that we do things in the beginning that we used to do at the end.	NA
33	I have pre-registered several studies over the years, and the process has changed over time. My first pre-registered study (published in 2014) likely looks very different from my most recent (stage 2 RR under review currently). The workflow for pre-registered projects is more front-loaded. This means that we do things in the beginning that we used to do at the end. The analysis is very challenging to plan, but actually running the analysis is simpler once the data are in. There is not as much temptation to choose specifications that are favorable to the conclusions; it relieves some pressure on me to make the results conform to a particular outcome. (This is especially true for registered reports, where statistical significance is not relevant.) I'm not sure I've discerned much effect of pre-registration specifically on data management. My data management habits have changed over this same time period to ensure fewer errors and greater reproducibility, but I would characterize this change as independent of the decision to pre-register.	02	The analysis is very challenging to plan, but actually running the analysis is simpler once the data are in.	NA
33	I have pre-registered several studies over the years, and the process has changed over time. My first pre-registered study (published in 2014) likely looks very different from my most recent (stage 2 RR under review currently). The workflow for pre-registered projects is more front-loaded. This means that we do things in the beginning that we used to do at the end. The analysis is very challenging to plan, but actually running the analysis is simpler once the data are in. There is not as much temptation to choose specifications that are favorable to the conclusions; it relieves some pressure on me to make the results conform to a particular outcome. (This is especially true for registered reports, where statistical significance is not relevant.) I'm not sure I've discerned much effect of pre-registration specifically on data management. My data management habits have changed over this same time period to ensure fewer errors and greater reproducibility, but I would characterize this change as independent of the decision to pre-register.	03	There is not as much temptation to choose specifications that are favorable to the conclusions; it relieves some pressure on me to make the results conform to a particular outcome. (This is especially true for registered reports, where statistical significance is not relevant.)	NA
33	I have pre-registered several studies over the years, and the process has changed over time. My first pre-registered study (published in 2014) likely looks very different from my most recent (stage 2 RR under review currently). The workflow for pre-registered projects is more front-loaded. This means that we do things in the beginning that we used to do at the end. The analysis is very challenging to plan, but actually running the analysis is simpler once the data are in. There is not as much temptation to choose specifications that are favorable to the conclusions; it relieves some pressure on me to make the results conform to a particular outcome. (This is especially true for registered reports, where statistical significance is not relevant.) I'm not sure I've discerned much effect of pre-registration specifically on data management. My data management habits have changed over this same time period to ensure fewer errors and greater reproducibility, but I would characterize this change as independent of the decision to pre-register.	04	I'm not sure I've discerned much effect of pre-registration specifically on data management. My data management habits have changed over this same time period to ensure fewer errors and greater reproducibility, but I would characterize this change as independent of the decision to pre-register.	NA
34	I decide to preregister a study after pilot testing, once I have a better idea of what is going to happen, what the data are going to look like and what the appropriate analyses are. The workflow, data management, and quality of research are similar between preregistered and not preregistered studies because we try to hold to an ethical ideal regardless of whether other researchers are going to see it or not. The main difference comes really in planning the analyses beforehand or not.	01	The workflow, data management, and quality of research are similar between preregistered and not preregistered studies because we try to hold to an ethical ideal regardless of whether other researchers are going to see it or not.	NA
34	I decide to preregister a study after pilot testing, once I have a better idea of what is going to happen, what the data are going to look like and what the appropriate analyses are. The workflow, data management, and quality of research are similar between preregistered and not preregistered studies because we try to hold to an ethical ideal regardless of whether other researchers are going to see it or not. The main difference comes really in planning the analyses beforehand or not.	02	The main difference comes really in planning the analyses beforehand or not.	NA
36	Actually, I have preregistered all my studies that I have conducted myself. The main advantage of doing so, it is that it encourages yourself to think over all the aspect related to the methodology and data analysis and many ideas appears during the process and other authors interested in the topic can have access to them.	01	The main advantage of doing so, it is that it encourages yourself to think over all the aspect related to the methodology and data analysis	NA
36	Actually, I have preregistered all my studies that I have conducted myself. The main advantage of doing so, it is that it encourages yourself to think over all the aspect related to the methodology and data analysis and many ideas appears during the process and other authors interested in the topic can have access to them.	02	many ideas appears during the process and other authors interested in the topic can have access to them.	NA
37	"Preregistration helps me clarify my thinking about which statistical procedure(s) represents the best or most appropriate way to test my hypothesis(es). When I haven't forced myself to plan ahead, I find that when it comes time to analyze the data, I start almost immediately in ""exploration"" mode - doing multiple analyses quite rapidly to understand the pattern of results. It is very easy, absent preregistration, to quickly develop a post hoc rationalization for whichever test or set of tests produce the best data. I still engage in this data exploration when I preregister - the only difference it that preregistration allows me to have more confidence in the validity of my hypothesis testing because I've put some thought into what the central test is prior to looking at the data."	01	"Preregistration helps me clarify my thinking about which statistical procedure(s) represents the best or most appropriate way to test my hypothesis(es). When I haven't forced myself to plan ahead, I find that when it comes time to analyze the data, I start almost immediately in ""exploration"" mode - doing multiple analyses quite rapidly to understand the pattern of results. It is very easy, absent preregistration, to quickly develop a post hoc rationalization for whichever test or set of tests produce the best data."	NA
37	"Preregistration helps me clarify my thinking about which statistical procedure(s) represents the best or most appropriate way to test my hypothesis(es). When I haven't forced myself to plan ahead, I find that when it comes time to analyze the data, I start almost immediately in ""exploration"" mode - doing multiple analyses quite rapidly to understand the pattern of results. It is very easy, absent preregistration, to quickly develop a post hoc rationalization for whichever test or set of tests produce the best data. I still engage in this data exploration when I preregister - the only difference it that preregistration allows me to have more confidence in the validity of my hypothesis testing because I've put some thought into what the central test is prior to looking at the data."	02	I still engage in this data exploration when I preregister - the only difference it that preregistration allows me to have more confidence in the validity of my hypothesis testing because I've put some thought into what the central test is prior to looking at the data.	NA
38	regarding workflow and quality of research: Pre-registration is strictly superior to not registering. Pre-registration means being clear about what you are going to do before doing it. A lot of researchers, myself included before I started pre-registering, design a study that seems to make sense, then run it. Then, when it comes time to analyze and think concretely about the analysis, problems crop up, experimenter degrees of freedom enter the picture, and regrets creep in about what wasn't included in the study or about how something was overlooked. There are often facets of experiments and analyses scientists think they understand, and they do in a vague way, but they don't actually consider the concrete details until it's too late. Writing out a a pre-registration helps you find design issues while they can still be fixed. The researcher forces themselves to examine the details of future analyses before committing to a design, thereby improving the design itself. This makes the research more efficient and useful and streamlines the study in the process. Thinking of including a questionnaire? Without pre-reg, I would just include it. With pre-reg, I think about WHY I might to include it, what analyses I might run, what it would look like in a published paper, and what reviewers might think about it. Pre-registration makes research more conscious. Pre-registration makes me think of better study designs. By thinking ahead and considering the analysis and publication, I am emboldened to revise my design to make it better: more efficient, more useful, more understandable, more ambitious. I am more likely to build a clever design where I can get multiple pre-registrations and thus multiple publications from a single study design. When it comes time to run the analysis, it is so easy if you have a pre-registration! It's all right there, decided by your past self. A pre-registration is a gift to your future self. A pre-registration is quintessentially delayed gratification. The hardest part about pre-registration is forcing yourself to work now when you could leave it to later. The pay-off is worth it, though. While I think the field needs to ease up on some fronts (e.g. we should be doing power analyses but we should not be held to the highest standard of doing the most advanced predictive modelling for power analysis; something simple should suffice to indicate we have at least enough power, especially if we collect well above the sample size indicated by a modest power analysis) I think the field should push for more pre-registration. Anything that isn't pre-registered is untrustworthy. It is simply too easy for researchers to selectively report and to fool themselves into thinking their research is robust because a p-value is low. Most researchers don't understand p-values anyway. regarding data-management: I don't think pre-registration is intrinsically tied to open materials and open data, but they often go together. As such, I don't really have anything to say about pre-registration's effects on data-management other than this: by thinking through analysis ahead of time, pre-registration ensures you collect the necessary data. Open materials are so crucial to understanding research. It is all too easy to overlook the contents of a paradigm and be seduced by the name of a questionnaire or task when, if the reader actually read the questionnaire, they might not accept it as a measure of what it claims to measure, likewise for a task. Open data is crucial for honesty and integrity. At first it can be a bit anxiety producing to share one's data, to draw back the curtain, revealing not the pristine publication but the dirty reality of messy processing scripts and ugly data. Unveiling reality is what should be done, though. Open data allows other researchers to question findings and investigate their own questions about data that may no interest the authors. The author need not indulge queries about fine details of the data because the other researcher can simply answer it for themselves when they have access. Most importantly, by uploading data to a repository, like the Open Science Framework, that data is properly archived. Academia, especially early on in one's career, involves moving to different places, changing emails every few years, and using different computers with different hard-drives. Data so easily gets lost or becomes inaccessible. Even if the researcher still has access, it takes so much more effort to find something amid all the possible places it could be rather than point someone to an OSF repository where it will be. It might be reasonable to accept that a researcher doesn't have time to go digging through a backlog of their work to find data from five or ten years ago; it is much less reasonable to claim that the researcher doesn't have time to upload their data to the OSF while they are going through the publication process. Yes, it takes more time, but what may take an hour today saves everyone time later and ensures the data is available. I hope that one day, open materials and open data are standard, mandatory practices that are part of publication. Every paper should come with a link to the data and the materials.	01	A lot of researchers, myself included before I started pre-registering, design a study that seems to make sense, then run it. Then, when it comes time to analyze and think concretely about the analysis, problems crop up, experimenter degrees of freedom enter the picture, and regrets creep in about what wasn't included in the study or about how something was overlooked.	NA
38	regarding workflow and quality of research: Pre-registration is strictly superior to not registering. Pre-registration means being clear about what you are going to do before doing it. A lot of researchers, myself included before I started pre-registering, design a study that seems to make sense, then run it. Then, when it comes time to analyze and think concretely about the analysis, problems crop up, experimenter degrees of freedom enter the picture, and regrets creep in about what wasn't included in the study or about how something was overlooked. There are often facets of experiments and analyses scientists think they understand, and they do in a vague way, but they don't actually consider the concrete details until it's too late. Writing out a a pre-registration helps you find design issues while they can still be fixed. The researcher forces themselves to examine the details of future analyses before committing to a design, thereby improving the design itself. This makes the research more efficient and useful and streamlines the study in the process. Thinking of including a questionnaire? Without pre-reg, I would just include it. With pre-reg, I think about WHY I might to include it, what analyses I might run, what it would look like in a published paper, and what reviewers might think about it. Pre-registration makes research more conscious. Pre-registration makes me think of better study designs. By thinking ahead and considering the analysis and publication, I am emboldened to revise my design to make it better: more efficient, more useful, more understandable, more ambitious. I am more likely to build a clever design where I can get multiple pre-registrations and thus multiple publications from a single study design. When it comes time to run the analysis, it is so easy if you have a pre-registration! It's all right there, decided by your past self. A pre-registration is a gift to your future self. A pre-registration is quintessentially delayed gratification. The hardest part about pre-registration is forcing yourself to work now when you could leave it to later. The pay-off is worth it, though. While I think the field needs to ease up on some fronts (e.g. we should be doing power analyses but we should not be held to the highest standard of doing the most advanced predictive modelling for power analysis; something simple should suffice to indicate we have at least enough power, especially if we collect well above the sample size indicated by a modest power analysis) I think the field should push for more pre-registration. Anything that isn't pre-registered is untrustworthy. It is simply too easy for researchers to selectively report and to fool themselves into thinking their research is robust because a p-value is low. Most researchers don't understand p-values anyway. regarding data-management: I don't think pre-registration is intrinsically tied to open materials and open data, but they often go together. As such, I don't really have anything to say about pre-registration's effects on data-management other than this: by thinking through analysis ahead of time, pre-registration ensures you collect the necessary data. Open materials are so crucial to understanding research. It is all too easy to overlook the contents of a paradigm and be seduced by the name of a questionnaire or task when, if the reader actually read the questionnaire, they might not accept it as a measure of what it claims to measure, likewise for a task. Open data is crucial for honesty and integrity. At first it can be a bit anxiety producing to share one's data, to draw back the curtain, revealing not the pristine publication but the dirty reality of messy processing scripts and ugly data. Unveiling reality is what should be done, though. Open data allows other researchers to question findings and investigate their own questions about data that may no interest the authors. The author need not indulge queries about fine details of the data because the other researcher can simply answer it for themselves when they have access. Most importantly, by uploading data to a repository, like the Open Science Framework, that data is properly archived. Academia, especially early on in one's career, involves moving to different places, changing emails every few years, and using different computers with different hard-drives. Data so easily gets lost or becomes inaccessible. Even if the researcher still has access, it takes so much more effort to find something amid all the possible places it could be rather than point someone to an OSF repository where it will be. It might be reasonable to accept that a researcher doesn't have time to go digging through a backlog of their work to find data from five or ten years ago; it is much less reasonable to claim that the researcher doesn't have time to upload their data to the OSF while they are going through the publication process. Yes, it takes more time, but what may take an hour today saves everyone time later and ensures the data is available. I hope that one day, open materials and open data are standard, mandatory practices that are part of publication. Every paper should come with a link to the data and the materials.	02	There are often facets of experiments and analyses scientists think they understand, and they do in a vague way, but they don't actually consider the concrete details until it's too late. Writing out a a pre-registration helps you find design issues while they can still be fixed. The researcher forces themselves to examine the details of future analyses before committing to a design, thereby improving the design itself. This makes the research more efficient and useful and streamlines the study in the process.	NA
